epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.9,0.19379,0.60824,0.85142,0.91869,0.90889,0.9229,0.9173,0.17089,0.42954,0.69075,0.000205399,0.000205399,0.000205399
2,237.421,0.19803,0.58314,0.85399,0.88182,0.86752,0.90849,0.90298,0.18337,0.50171,0.6962,0.000393253,0.000393253,0.000393253
3,347.967,0.21048,0.61767,0.855,0.86166,0.82318,0.86073,0.85001,0.20272,0.59005,0.69578,0.000560481,0.000560481,0.000560481
4,461.142,0.21076,0.60836,0.85537,0.85228,0.81604,0.85149,0.7536,0.21829,0.58743,0.74439,0.000532187,0.000532187,0.000532187
5,577.298,0.20468,0.59531,0.8517,0.76565,0.79677,0.76628,0.72764,0.23705,0.65436,0.73614,0.00050125,0.00050125,0.00050125
6,691.753,0.20777,0.60251,0.85379,0.89615,0.875,0.91078,0.90383,0.19774,0.45649,0.70587,0.000470312,0.000470312,0.000470312
7,802.374,0.20881,0.60185,0.85482,0.86137,0.88115,0.89851,0.87011,0.2067,0.49595,0.70318,0.000439375,0.000439375,0.000439375
8,917.759,0.19883,0.57902,0.85312,0.80209,0.85467,0.85874,0.75499,0.20881,0.69709,0.72388,0.000408438,0.000408438,0.000408438
9,1033.16,0.19755,0.58026,0.8538,0.90843,0.91575,0.92079,0.88638,0.19856,0.43382,0.70999,0.0003775,0.0003775,0.0003775
10,1140.76,0.19574,0.5619,0.85226,0.91282,0.90299,0.92369,0.91682,0.17913,0.45484,0.69662,0.000346563,0.000346563,0.000346563
11,1246.6,0.2153,0.59129,0.84697,0.93596,0.92768,0.93198,0.92696,0.17329,0.42687,0.68687,0.000315625,0.000315625,0.000315625
12,1346.19,0.20679,0.55582,0.84528,0.91496,0.8984,0.91546,0.91047,0.15892,0.45149,0.68132,0.000284688,0.000284688,0.000284688
13,1443.78,0.20281,0.54255,0.84321,0.90059,0.89468,0.91899,0.91407,0.17018,0.49011,0.68264,0.00025375,0.00025375,0.00025375
14,1542.07,0.20045,0.52824,0.84377,0.92408,0.92386,0.93102,0.92677,0.16434,0.42338,0.68685,0.000222813,0.000222813,0.000222813
15,1638.84,0.19638,0.51967,0.84236,0.89933,0.90321,0.91867,0.91444,0.15821,0.42034,0.68233,0.000191875,0.000191875,0.000191875
16,1739.17,0.19893,0.51588,0.84316,0.93676,0.93505,0.93886,0.93438,0.16075,0.41074,0.68445,0.000160938,0.000160938,0.000160938
17,1837.95,0.19279,0.50496,0.84206,0.94336,0.93536,0.93999,0.93559,0.15399,0.43903,0.6808,0.00013,0.00013,0.00013
18,1934.62,0.19167,0.49702,0.84143,0.93438,0.92715,0.93959,0.93567,0.1491,0.4423,0.67628,9.90625e-05,9.90625e-05,9.90625e-05
19,2033.23,0.1879,0.48409,0.84092,0.94067,0.92973,0.94062,0.93632,0.14286,0.41464,0.67551,6.8125e-05,6.8125e-05,6.8125e-05
20,2134.61,0.18579,0.47412,0.8411,0.93528,0.931,0.94234,0.93837,0.14103,0.42569,0.67462,3.71875e-05,3.71875e-05,3.71875e-05
